Match,Round,GameDate,Location,HomeTeam,AwayTeam,Result
159,16,06/12/2021 01:00,Alberto Picco,Spezia,Sassuolo,
160,16,06/12/2021 01:00,Pier Luigi Penzo,Venezia,Hellas Verona,
161,17,13/12/2021 01:00,Artemio Franchi,Fiorentina,Salernitana,
162,17,13/12/2021 01:00,Luigi Ferraris,Genoa,Sampdoria,
163,17,13/12/2021 01:00,Marcantonio Bentegodi,Hellas Verona,Atalanta,
164,17,13/12/2021 01:00,Giuseppe Meazza,Inter,Cagliari,
165,17,13/12/2021 01:00,Diego Armando Maradona,Napoli,Empoli,
166,17,13/12/2021 01:00,Olimpico,Roma,Spezia,
167,17,13/12/2021 01:00,Mapei Stadium,Sassuolo,Lazio,
168,17,13/12/2021 01:00,Olimpico Grande Torino,Torino,Bologna,
169,17,13/12/2021 01:00,Stadio Friuli,Udinese,Milan,
170,17,13/12/2021 01:00,Pier Luigi Penzo,Venezia,Juventus,
171,18,20/12/2021 01:00,Gewiss Stadium,Atalanta,Roma,
172,18,20/12/2021 01:00,Renato Dall'Ara,Bologna,Juventus,
173,18,20/12/2021 01:00,Sardegna Arena,Cagliari,Udinese,
174,18,20/12/2021 01:00,Artemio Franchi,Fiorentina,Sassuolo,
175,18,20/12/2021 01:00,Olimpico,Lazio,Genoa,
176,18,20/12/2021 01:00,Giuseppe Meazza,Milan,Napoli,
177,18,20/12/2021 01:00,Arechi,Salernitana,Inter,
178,18,20/12/2021 01:00,Luigi Ferraris,Sampdoria,Venezia,
179,18,20/12/2021 01:00,Alberto Picco,Spezia,Empoli,
180,18,20/12/2021 01:00,Olimpico Grande Torino,Torino,Hellas Verona,
181,19,23/12/2021 01:00,Carlo Castellani,Empoli,Milan,
182,19,23/12/2021 01:00,Luigi Ferraris,Genoa,Atalanta,
183,19,23/12/2021 01:00,Marcantonio Bentegodi,Hellas Verona,Fiorentina,
184,19,23/12/2021 01:00,Giuseppe Meazza,Inter,Torino,
185,19,23/12/2021 01:00,Allianz Stadium,Juventus,Cagliari,
186,19,23/12/2021 01:00,Diego Armando Maradona,Napoli,Spezia,
187,19,23/12/2021 01:00,Olimpico,Roma,Sampdoria,
188,19,23/12/2021 01:00,Mapei Stadium,Sassuolo,Bologna,
189,19,23/12/2021 01:00,Stadio Friuli,Udinese,Salernitana,
190,19,23/12/2021 01:00,Pier Luigi Penzo,Venezia,Lazio,
191,20,07/01/2022 01:00,Gewiss Stadium,Atalanta,Torino,
192,20,07/01/2022 01:00,Renato Dall'Ara,Bologna,Inter,
193,20,07/01/2022 01:00,Artemio Franchi,Fiorentina,Udinese,
194,20,07/01/2022 01:00,Allianz Stadium,Juventus,Napoli,
195,20,07/01/2022 01:00,Olimpico,Lazio,Empoli,
196,20,07/01/2022 01:00,Giuseppe Meazza,Milan,Roma,
197,20,07/01/2022 01:00,Arechi,Salernitana,Venezia,
198,20,07/01/2022 01:00,Luigi Ferraris,Sampdoria,Cagliari,
199,20,07/01/2022 01:00,Mapei Stadium,Sassuolo,Genoa,
200,20,07/01/2022 01:00,Alberto Picco,Spezia,Hellas Verona,
201,21,10/01/2022 01:00,Sardegna Arena,Cagliari,Bologna,
202,21,10/01/2022 01:00,Carlo Castellani,Empoli,Sassuolo,
203,21,10/01/2022 01:00,Luigi Ferraris,Genoa,Spezia,
204,21,10/01/2022 01:00,Marcantonio Bentegodi,Hellas Verona,Salernitana,
205,21,10/01/2022 01:00,Giuseppe Meazza,Inter,Lazio,
206,21,10/01/2022 01:00,Diego Armando Maradona,Napoli,Sampdoria,
207,21,10/01/2022 01:00,Olimpico,Roma,Juventus,
208,21,10/01/2022 01:00,Olimpico Grande Torino,Torino,Fiorentina,
209,21,10/01/2022 01:00,Stadio Friuli,Udinese,Atalanta,
210,21,10/01/2022 01:00,Pier Luigi Penzo,Venezia,Milan,
211,22,17/01/2022 01:00,Gewiss Stadium,Atalanta,Inter,
212,22,17/01/2022 01:00,Renato Dall'Ara,Bologna,Napoli,
213,22,17/01/2022 01:00,Artemio Franchi,Fiorentina,Genoa,
214,22,17/01/2022 01:00,Allianz Stadium,Juventus,Udinese,
215,22,17/01/2022 01:00,Giuseppe Meazza,Milan,Spezia,
216,22,17/01/2022 01:00,Olimpico,Roma,Cagliari,
217,22,17/01/2022 01:00,Arechi,Salernitana,Lazio,
218,22,17/01/2022 01:00,Luigi Ferraris,Sampdoria,Torino,
219,22,17/01/2022 01:00,Mapei Stadium,Sassuolo,Hellas Verona,
220,22,17/01/2022 01:00,Pier Luigi Penzo,Venezia,Empoli,
221,23,24/01/2022 01:00,Sardegna Arena,Cagliari,Fiorentina,
222,23,24/01/2022 01:00,Carlo Castellani,Empoli,Roma,
223,23,24/01/2022 01:00,Luigi Ferraris,Genoa,Udinese,
224,23,24/01/2022 01:00,Marcantonio Bentegodi,Hellas Verona,Bologna,
225,23,24/01/2022 01:00,Giuseppe Meazza,Inter,Venezia,
226,23,24/01/2022 01:00,Olimpico,Lazio,Atalanta,
227,23,24/01/2022 01:00,Giuseppe Meazza,Milan,Juventus,
228,23,24/01/2022 01:00,Diego Armando Maradona,Napoli,Salernitana,
229,23,24/01/2022 01:00,Alberto Picco,Spezia,Sampdoria,
230,23,24/01/2022 01:00,Olimpico Grande Torino,Torino,Sassuolo,
231,24,07/02/2022 01:00,Gewiss Stadium,Atalanta,Cagliari,
232,24,07/02/2022 01:00,Renato Dall'Ara,Bologna,Empoli,
233,24,07/02/2022 01:00,Artemio Franchi,Fiorentina,Lazio,
234,24,07/02/2022 01:00,Giuseppe Meazza,Inter,Milan,
235,24,07/02/2022 01:00,Allianz Stadium,Juventus,Hellas Verona,
236,24,07/02/2022 01:00,Olimpico,Roma,Genoa,
237,24,07/02/2022 01:00,Arechi,Salernitana,Spezia,
238,24,07/02/2022 01:00,Luigi Ferraris,Sampdoria,Sassuolo,
239,24,07/02/2022 01:00,Stadio Friuli,Udinese,Torino,
240,24,07/02/2022 01:00,Pier Luigi Penzo,Venezia,Napoli,
241,25,14/02/2022 01:00,Gewiss Stadium,Atalanta,Juventus,
242,25,14/02/2022 01:00,Carlo Castellani,Empoli,Cagliari,
243,25,14/02/2022 01:00,Luigi Ferraris,Genoa,Salernitana,
244,25,14/02/2022 01:00,Marcantonio Bentegodi,Hellas Verona,Udinese,
245,25,14/02/2022 01:00,Olimpico,Lazio,Bologna,
246,25,14/02/2022 01:00,Giuseppe Meazza,Milan,Sampdoria,
247,25,14/02/2022 01:00,Diego Armando Maradona,Napoli,Inter,
248,25,14/02/2022 01:00,Mapei Stadium,Sassuolo,Roma,
249,25,14/02/2022 01:00,Alberto Picco,Spezia,Fiorentina,
250,25,14/02/2022 01:00,Olimpico Grande Torino,Torino,Venezia,
251,26,21/02/2022 01:00,Renato Dall'Ara,Bologna,Spezia,
252,26,21/02/2022 01:00,Sardegna Arena,Cagliari,Napoli,
253,26,21/02/2022 01:00,Artemio Franchi,Fiorentina,Atalanta,
254,26,21/02/2022 01:00,Giuseppe Meazza,Inter,Sassuolo,
255,26,21/02/2022 01:00,Allianz Stadium,Juventus,Torino,
256,26,21/02/2022 01:00,Olimpico,Roma,Hellas Verona,
257,26,21/02/2022 01:00,Arechi,Salernitana,Milan,
258,26,21/02/2022 01:00,Luigi Ferraris,Sampdoria,Empoli,
